"First Name","Last Name","Full Name",Email,"Phone Number"
rak,kumar,"Rak Kumar",rajkumar@mailinator.com,+919828565854
"Deepak Kumar Gupta",,"Deepak Kumar Gupta ",dg@mailinator.com,+91789698574
Firstupdates,lastupdates,"Firstupdates Lastupdates",front04@mailinator.com,+919879879804
First,last,"First Last",front03@mailinator.com,+919879879873
First,last,"First Last",front02@mailinator.com,+919879879872
First,last,"First Last",first01@mailinator.com,+919829829821
First,Last,"First Last",first07@mailinator.com,+919829829827
First,Last,"First Last",first06@mailinator.com,+919829829826
First,Last,"First Last",first05@mailinator.com,+919829829825
First,Last,"First Last",first04@mailinator.com,+919829829824
First,Last,"First Last",first03@mailinator.com,+919829829823
First,Last,"First Last",first02@mailinator.com,+919829829822
